"machine","location_type","num_vendex_nearby_300","train_AvgDailyPassengers","train_AvgWorkingDayPassengers","n_density_5km","income_average","total_number_of_routes_600","num_hotels","num_hotels_45","small_machine"
1,"others",1,NA,NA,224.704402515723,NA,65,0,0,0
2,"others",1,NA,NA,224.704402515723,NA,65,0,0,0
179,"others",0,NA,NA,358.915032679739,51962,6,0,0,1
180,"transport",2,NA,NA,253.528265107212,47359,11,0,0,1
181,"others",0,NA,NA,197.552083333333,61219,10,0,0,0
182,"transport",5,32000,35300,1010.98660170524,47051,127,2,2,0
183,"petrol station",0,NA,NA,290.665024630542,51937,5,0,0,1
184,"transport",2,8600,10000,559.663366336634,60068,40,2,0,0
185,"transport",1,2300,2700,293.539473684211,52511,11,0,0,1
186,"transport",1,2300,2700,293.539473684211,52511,11,0,0,0
187,"petrol station",0,NA,NA,987.8972520908,NA,6,0,0,1
188,"petrol station",0,NA,NA,496.177024482109,60112,3,0,0,1
189,"transport",0,NA,NA,115.98623853211,42089,6,0,0,1
190,"transport",0,130,140,80.1324503311258,48517,4,0,0,0
191,"transport",0,3200,4000,1335.8413926499,NA,9,0,0,1
192,"petrol station",0,NA,NA,2325.2861952862,76137,6,0,0,0
193,"others",0,NA,NA,182.730109204368,52872,3,0,0,0
194,"others",0,NA,NA,353.255813953488,59516,5,1,1,1
195,"others",0,NA,NA,286.719367588933,NA,2,0,0,0
196,"transport",1,2700,3300,159.221357063404,44525,41,0,0,0
197,"petrol station",0,NA,NA,120.980392156863,46642,8,0,0,0
198,"petrol station",2,NA,NA,1643.26797385621,55395,17,0,0,1
199,"others",0,NA,NA,126.641221374046,51759,10,0,0,0
200,"others",3,NA,NA,820.469483568075,51545,67,0,0,1
201,"transport",1,NA,NA,3.48214285714286,44210,23,3,0,0
202,"others",0,NA,NA,973.133333333333,48609,6,0,0,0
203,"transport",1,21600,25100,963.810143042913,48500,121,2,1,0
204,"transport",8,21600,25100,1238.60269360269,48500,139,2,1,0
205,"transport",0,NA,NA,111.838634600465,37088,17,0,0,0
206,"others",0,NA,NA,622.981366459627,48264,8,1,0,0
207,"transport",3,32100,39900,3926.99731903485,60984,68,3,0,0
208,"transport",7,47100,52900,1252.92713567839,50467,237,4,2,0
209,"petrol station",0,NA,NA,1532.0623501199,54276,19,1,0,0
210,"others",0,NA,NA,604.964838255977,52004,4,0,0,1
211,"transport",6,19800,22400,827.301038062284,45278,133,0,0,1
212,"petrol station",0,NA,NA,548.105413105413,81810,9,0,0,0
213,"transport",9,33300,39100,1180.91743119266,67100,168,3,2,1
214,"petrol station",0,NA,NA,268.737672583826,51064,1,0,0,1
215,"transport",1,1200,1400,165.389830508475,49468,12,0,0,1
216,"transport",2,830,990,114.593406593407,43895,27,0,0,0
217,"others",0,NA,NA,5181.77156177156,56368,123,8,4,1
218,"petrol station",0,NA,NA,82.0231607629428,43721,18,0,0,1
219,"petrol station",0,NA,NA,340.703125,50342,1,0,0,1
220,"petrol station",0,NA,NA,89.5553539019964,40141,2,0,0,0
221,"transport",2,NA,NA,57.4018379281537,56854,17,9,7,0
222,"others",0,NA,NA,119.426229508197,43698,5,0,0,0
223,"petrol station",0,NA,NA,280.899672846238,55195,7,0,0,0
224,"petrol station",0,NA,NA,433.915094339623,52219,6,0,0,0
225,"transport",34,396300,441400,4515.98407281001,60984,845,42,11,1
226,"petrol station",1,NA,NA,93.3333333333333,56094,17,0,0,0
227,"transport",11,23600,26800,1229.00726392252,50449,149,7,1,0
228,"petrol station",0,NA,NA,520.046511627907,NA,6,0,0,0
229,"petrol station",0,NA,NA,116.618274978651,48387,2,0,0,0
230,"transport",6,19800,22400,827.301038062284,45278,133,0,0,1
231,"others",0,NA,NA,243.430107526882,50476,7,0,0,0
232,"others",3,NA,NA,716.605800214823,59236,14,0,0,0
233,"petrol station",0,NA,NA,128.402366863905,47183,NA,0,0,0
234,"transport",1,400,460,276.081946222791,NA,10,0,0,1
235,"transport",6,15500,17700,297.657045840407,55575,83,0,0,0
236,"petrol station",1,NA,NA,861.830559757943,52710,2,0,0,1
237,"others",0,NA,NA,1192.79009126467,50467,36,1,0,1
238,"others",0,NA,NA,588.872901678657,53006,3,0,0,0
239,"others",1,NA,NA,207.397769516729,47423,3,0,0,0
240,"petrol station",0,NA,NA,158.08,45833,4,0,0,0
241,"petrol station",0,NA,NA,4664.88076311606,55209,5,1,1,0
242,"others",2,NA,NA,239.199237368923,25536,60,16,3,0
243,"petrol station",2,NA,NA,319.897959183673,NA,36,0,0,1
244,"others",2,NA,NA,259.254385964912,150690,40,3,0,0
